code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt
192,Marcus,Bettinelli,Bettinelli,,,,,,,,192,,,,
194,Trevoh,Chalobah,Chalobah,,,,,,,,194,,,,
195,Ben,Chilwell,Chilwell,,,,,,,,195,,,,
196,Carney,Chukwuemeka,Chukwuemeka,,,,,,,,196,,,,
197,Levi,Colwill,Colwill,,,,,,,,197,,,,
198,Marc,Cucurella Saseta,Cucurella Saseta,,,,,,,,198,,,,
199,Enzo,Fernández,Fernández,,,,,,,,199,,,,
201,Wesley,Fofana,Fofana,,,,,,,,201,,,,
202,Conor,Gallagher,Gallagher,,,,,,,,202,,,,
203,Malo,Gusto,Gusto,,,,,,,,203,,,,
206,Reece,James,James,,,,,,,,206,,,,
207,Romelu,Lukaku Bolingoli,Lukaku Bolingoli,,,,,,,,207,,,,
208,Noni,Madueke,Madueke,,,,,,,,208,,,,
210,Mykhailo,Mudryk,Mudryk,,,,,,,,210,,,,
211,Nicolas,Jackson,Jackson,,,,,,,,211,,,,
212,Christopher,Nkunku,Nkunku,,,,,,,,212,,,,
213,Christian,Pulisic,Pulisic,,,,,,,,213,,,,
214,Malang,Sarr,Sarr,,,,,,,,214,,,,
215,Gabriel,Słonina,Słonina,,,,,,,,215,,,,
216,Raheem,Sterling,Sterling,,,,,,,,216,,,,
217,Thiago,Emiliano da Silva,Emiliano da Silva,,,,,,,,217,,,,
218,Hakim,Ziyech,Ziyech,,,,,,,,218,,,,
362,Cole,Palmer,Palmer,,,,,,,,362,,,,
589,Ângelo Gabriel,Borges Damaceno,Borges Damaceno,,,,,,,,589,,,,
609,Ian,Maatsen,Maatsen,,,,,,,,609,,,,
611,Axel,Disasi,Disasi,,,,,,,,611,,,,
613,Lesley,Ugochukwu,Ugochukwu,,,,,,,,613,,,,
623,Mason,Burstow,Burstow,,,,,,,,623,,,,
659,Lucas,Bergström,Bergström,,,,,,,,659,,,,
667,Roméo,Lavia,Lavia,,,,,,,,667,,,,
671,Bashir,Humphreys,Humphreys,,,,,,,,671,,,,
677,Deivid Washington,de Souza Eugênio,de Souza Eugênio,,,,,,,,677,,,,
680,Eddie,Beach,Beach,,,,,,,,680,,,,
681,Diego Manuel Jadon,da Silva Moreira,da Silva Moreira,,,,,,,,681,,,,
687,Đorđe,Petrović,Petrović,,,,,,,,687,,,,
716,Alfie,Gilchrist,Gilchrist,,,,,,,,716,,,,
717,Ronnie,Stutter,Stutter,,,,,,,,717,,,,
718,Alex,Matos,Matos,,,,,,,,718,,,,
723,Josh,Brooking,Brooking,,,,,,,,723,,,,
758,Leo,Castledine,Castledine,,,,,,,,758,,,,
791,Cesare,Casadei,Casadei,,,,,,,,791,,,,
